Isotope,Bq/s,Ci/s
Kr-85,8.07E+06,2.18E-04
Kr-85m,5.59E+11,1.51E+01
Kr-87,3.83E+12,1.03E+02
Kr-88,2.35E+12,6.36E+01
Kr-89,1.61E+14,4.36E+03
Kr-91,2.67E+15,7.20E+04
Kr-92,6.44E+15,1.74E+05
Kr-93,2.93E+15,7.91E+04
Xe-133,1.23E+11,3.33E+00
Xe-135,1.76E+12,4.76E+01
Xe-135m,1.24E+13,3.35E+02
Xe-137,2.33E+14,6.29E+03
Xe-138,6.10E+13,1.65E+03
Xe-139,1.01E+15,2.73E+04
Xe-140,2.06E+15,5.56E+04
Xe-141,6.05E+15,1.64E+05
Xe-142,3.13E+15,8.45E+04
I-129,4.94E+00,1.34E-10
I-131,1.46E+10,3.94E-01
I-132,1.80E+12,4.87E+01
I-133,2.88E+11,7.78E+00
I-133m,1.28E+15,3.45E+04
I-134,7.77E+12,2.10E+02
I-135,8.66E+11,2.34E+01
I-136,1.55E+14,4.19E+03
I-136m,9.56E+13,2.58E+03
I-137,4.06E+14,1.10E+04
I-138,8.00E+14,2.16E+04
I-139,1.07E+15,2.90E+04
I-140,6.71E+14,1.81E+04
Cs-134,4.69E+07,1.27E-03
Cs-137,5.21E+07,1.41E-03
Cs-138,2.73E+13,7.38E+02
Cs-139,8.56E+13,2.31E+03
Cs-140,6.55E+14,1.77E+04
Cs-141,1.28E+15,3.47E+04
Cs-142,1.19E+16,3.22E+05
Cs-143,6.10E+15,1.65E+05
Cs-144,3.68E+15,9.96E+04
Sr-89,1.17E+07,3.16E-04
Sr-91,1.92E+09,5.18E-02
Sr-92,7.48E+09,2.02E-01
Sr-93,1.65E+11,4.46E+00
Sr-94,9.82E+11,2.66E+01
Sr-95,2.56E+12,6.91E+01
Sr-96,4.40E+13,1.19E+03
Sr-97,5.12E+13,1.38E+03
Sr-98,1.66E+13,4.47E+02
